building_density,road_connectivity,public_transport_access,air_quality_index,green_cover_percentage,carbon_footprint,population_density,crime_rate,avg_income,renewable_energy_usage,disaster_risk_index,land_use_type_Commercial,land_use_type_Green Space,land_use_type_Industrial,land_use_type_Residential,urban_sustainability_score
0.367914724,0.393821445,0.428129053,0.414829659,0.238554514,0.921949582,0.126448675,0.547159754,0.932412177,0.382357843,0.446241708,0,0,1,0,0.259239025
0.414306184,0.608445156,0.65848093,0.490981964,0.917681394,0.17821323,0.325124172,0.764042448,0.903241359,0.377166597,0.936824067,0,1,0,0,0.57692348
0.827902072,0.44467949,0.263853412,0.264529058,0.077882751,0.29515934,0.042149558,0.575736475,0.208098143,0.237948995,0.463054375,0,0,0,1,0.252843985
0.733935902,0.742708485,0.012021672,0.486973948,0.427302662,0.975900059,0.6638383,0.826726532,0.258950921,0.876538555,0.204293349,0,0,1,0,0.409001652
0.769642624,0.228268371,0.519081592,0.945891784,0.532320636,0.370855858,0.4299117,0.127542456,0.180394345,0.679005986,0.151420659,0,0,1,0,0.686376276
0.011024634,0.058262446,0.605936689,0.587174349,0.89873505,0.021966275,0.388107064,0.43578912,0.196013406,0.279965717,0.994021149,0,1,0,0,0.599637777
0.416331349,0.299922429,0.963183312,0.971943888,0.997770661,0.147140771,0.060292494,0.609707101,0.908127016,0.242134478,0.333929309,0,0,0,1,0.758092757
0.481551108,0.474437875,0.589641817,0.867735471,0.753382489,0.025746124,0.742618653,0.676337515,0.93141284,0.017891975,0.160082093,0,0,0,1,0.603338153
0.019189353,0.167910072,0.471298648,0.074148297,0.970856616,0.990044335,0.643142936,0.696135321,0.05179435,0.346631021,0.008404711,0,0,1,0,0.59714621
0.25991956,0.35483317,0.573566537,0.71743487,0.787106556,0.278465333,0.90093819,0.729336345,0.593733243,0.526880508,0.285625772,1,0,0,0,0.666696678
0.760623459,0.400054185,0.928200168,0.110220441,0.963265779,0.923614779,0.046150662,0.651749545,0.564348829,0.277736601,0.889302843,0,0,1,0,0.481505822
0.137160332,0.05719547,0.828639888,0.637274549,0.707249986,0.996011885,0.112306843,0.094179989,0.390590278,0.700625778,0.534119242,0,0,1,0,0.607508579
0.535541596,0.583521579,0.323048543,0.751503006,0.079537029,0.599673462,0.513038079,0.695654375,0.63184385,0.411820161,0.632566253,0,0,1,0,0.197837018
0.215287963,0.884792848,0.237291618,0.094188377,0.401799373,0.032608817,0.793874172,0.725150813,0.94764973,0.31635645,0.922584998,0,0,1,0,0.339099863
0.012114639,0.151620221,0.262680505,0.208416834,0.646556659,0.081039981,0.988755519,0.99402547,0.170202851,0.939305217,0.512945262,0,1,0,0,0.638183994
0.241299356,0.598033669,0.504559755,0.947895792,0.350580915,0.481333702,0.024696468,0.693709851,0.120337459,0.262821533,0.838455554,0,0,0,1,0.272298493
0.976305296,0.665017129,0.744279169,0.116232465,0.273220978,0.405860795,0.508485099,0.687173498,0.033279727,0.398323726,0.323897757,0,1,0,0,0.425906869
0.80188948,0.41942096,0.503357466,0.152304609,0.577335964,0.60601424,0.729994481,0.515042837,0.36386446,0.382351537,0.977307586,0,1,0,0,0.364378878
0.960000784,0.701403905,0.067769296,0.855711423,0.933555281,0.438560796,0.268970751,0.868385558,0.337648368,0.241211754,0.078825376,0,1,0,0,0.57392199
0.488063957,0.410811104,0.723802645,0.997995992,0.034740801,0.934156674,0.054842715,0.997382512,0.430879625,0.217482189,0.724980704,0,0,1,0,0.058121766
0.109774394,0.504790183,0.806223362,0.434869739,0.76923077,0.534523733,0.122861479,0.779448848,0.503401118,0.302413955,0.660703571,1,0,0,0,0.500422125
0.548196698,0.007117594,0.28955496,0.765531062,0.722711604,0.693627847,0.486272075,0.612794412,0.758024449,0.864458623,0.19170741,0,0,0,1,0.644727776
0.454572044,0.692019108,0.664325105,0.108216433,0.964016809,0.896537252,0.004415011,0.078896644,0.392156695,0.767272743,0.388922534,1,0,0,0,0.754730128
0.844728897,0.66161795,0.426701059,0.108216433,0.930763712,0.146368582,0.774282561,0.72710858,0.330629986,0.681160487,0.312891216,0,1,0,0,0.765425529
0.098115484,0.038189673,0.889404166,0.256513026,0.762229835,0.229292741,0.391487307,0.708919017,0.827108949,0.457188842,0.094507761,0,1,0,0,0.730054749
0.488451226,0.368296493,0.845493699,0.783567134,0.520326784,0.106786068,0.144039735,0.77596983,0.850036648,0.507856829,0.584908923,1,0,0,0,0.561095096
0.150105167,0.979555206,0.525578692,0.765531062,0.204081962,0.139129747,0.721992274,0.124527308,0.232740795,0.267160957,0.993879151,1,0,0,0,0.329996027
